2025-07-15 16:24:18,203 | INFO | django.server | "GET /admin/auth/user/ HTTP/1.1" 200 11755
2025-07-15 16:24:20,586 | INFO | django.server | "GET /admin/auth/user/2/change/ HTTP/1.1" 200 22200
2025-07-15 16:24:20,637 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:24:42,641 | INFO | django.server | "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
2025-07-15 16:24:42,680 | INFO | django.server | "GET /admin/auth/user/ HTTP/1.1" 200 11950
2025-07-15 16:24:42,787 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:26:50,825 | WARNING | django.request | Unauthorized: /api/secured/
2025-07-15 16:26:50,826 | WARNING | django.server | "POST /api/secured/ HTTP/1.1" 401 58
2025-07-15 16:27:46,066 | INFO | django.server | "POST /admin/logout/ HTTP/1.1" 200 3568
2025-07-15 16:27:49,538 | INFO | django.server | "GET /admin/ HTTP/1.1" 302 0
2025-07-15 16:27:49,568 | INFO | django.server | "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
2025-07-15 16:27:59,833 | INFO | django.server | "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
2025-07-15 16:27:59,882 | INFO | django.server | "GET /admin/ HTTP/1.1" 200 4521
2025-07-15 16:30:00,563 | INFO | django.server | "POST /admin/logout/ HTTP/1.1" 200 3568
2025-07-15 16:30:03,164 | INFO | django.server | "GET /admin/ HTTP/1.1" 302 0
2025-07-15 16:30:03,187 | INFO | django.server | "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
2025-07-15 16:30:19,685 | INFO | django.server | "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
2025-07-15 16:30:19,714 | INFO | django.server | "GET /admin/ HTTP/1.1" 200 6474
2025-07-15 16:30:23,235 | INFO | django.server | "GET /admin/auth/user/ HTTP/1.1" 200 11755
2025-07-15 16:30:23,296 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:30:24,863 | INFO | django.server | "GET /admin/auth/user/2/change/ HTTP/1.1" 200 22244
2025-07-15 16:30:24,903 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:46:57,064 | INFO | django.server | "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
2025-07-15 16:46:57,107 | INFO | django.server | "GET /admin/auth/user/ HTTP/1.1" 200 11950
2025-07-15 16:46:57,215 | INFO | django.server | "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2025-07-15 16:47:13,655 | WARNING | django.request | Unauthorized: /api/secured/
2025-07-15 16:47:13,657 | WARNING | django.server | "POST /api/secured/ HTTP/1.1" 401 58
2025-07-15 16:47:46,310 | WARNING | django.request | Unauthorized: /api/servers/
2025-07-15 16:47:46,310 | WARNING | django.server | "GET /api/servers/ HTTP/1.1" 401 58
2025-07-15 17:09:57,940 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 17:09:58,350 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 17:10:37,921 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 17:11:19,413 | INFO | django.server | "GET /api/servers/ HTTP/1.1" 200 2
2025-07-15 17:13:53,445 | INFO | django.server | "GET /api/servers/ HTTP/1.1" 200 2
2025-07-15 17:14:41,981 | WARNING | django.request | Bad Request: /api/servers/
2025-07-15 17:14:41,981 | WARNING | django.server | "POST /api/servers/ HTTP/1.1" 400 83
2025-07-15 18:56:36,376 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 18:56:41,924 | WARNING | django.request | Unauthorized: /api/servers/
2025-07-15 18:56:41,925 | WARNING | django.server | "POST /api/servers/ HTTP/1.1" 401 172
2025-07-15 19:03:59,953 | INFO | django.server | "POST /api/token/refresh/ HTTP/1.1" 200 241
2025-07-15 19:04:18,868 | INFO | django.server | "POST /api/servers/ HTTP/1.1" 201 139
2025-07-15 19:09:51,107 | INFO | django.server | "GET /api/servers/ HTTP/1.1" 200 141
2025-07-15 19:10:22,368 | INFO | django.server | "GET /api/servers/1/ HTTP/1.1" 200 139
2025-07-15 19:10:36,905 | WARNING | django.request | Bad Request: /api/servers/1/
2025-07-15 19:10:36,906 | WARNING | django.server | "PUT /api/servers/1/ HTTP/1.1" 400 124
2025-07-15 19:11:31,542 | INFO | django.server | "PUT /api/servers/1/ HTTP/1.1" 200 139
2025-07-15 19:11:43,672 | INFO | django.server | "GET /api/servers/1/ HTTP/1.1" 200 139
2025-07-15 19:12:00,196 | INFO | django.server | "DELETE /api/servers/1/ HTTP/1.1" 204 0
2025-07-15 19:20:29,967 | WARNING | django.request | Bad Request: /api/servers/
2025-07-15 19:20:29,968 | WARNING | django.server | "POST /api/servers/ HTTP/1.1" 400 124
2025-07-15 19:20:40,281 | INFO | django.server | "POST /api/servers/ HTTP/1.1" 201 139
2025-07-15 19:59:08,158 | WARNING | django.request | Bad Request: /api/backups/
2025-07-15 19:59:08,160 | WARNING | django.server | "POST /api/backups/ HTTP/1.1" 400 56
2025-07-15 19:59:35,370 | WARNING | django.request | Bad Request: /api/backups/
2025-07-15 19:59:35,370 | WARNING | django.server | "POST /api/backups/ HTTP/1.1" 400 56
2025-07-15 20:00:42,554 | WARNING | django.request | Bad Request: /api/backups/
2025-07-15 20:00:42,554 | WARNING | django.server | "POST /api/backups/ HTTP/1.1" 400 56
2025-07-15 20:02:06,433 | INFO | django.server | "POST /api/backups/ HTTP/1.1" 201 141
2025-07-15 20:02:25,104 | WARNING | django.request | Not Found: /api/backups/2/
2025-07-15 20:02:25,104 | WARNING | django.server | "GET /api/backups/2/ HTTP/1.1" 404 5595
2025-07-15 20:05:52,635 | WARNING | django.request | Not Found: /api/backups/2/
2025-07-15 20:05:52,636 | WARNING | django.server | "POST /api/backups/2/ HTTP/1.1" 404 5596
2025-07-15 20:06:03,320 | WARNING | django.request | Unauthorized: /api/backups/
2025-07-15 20:06:03,320 | WARNING | django.server | "POST /api/backups/ HTTP/1.1" 401 172
2025-07-15 20:07:14,217 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 20:07:32,557 | INFO | django.server | "POST /api/backups/ HTTP/1.1" 201 141
2025-07-15 20:07:46,039 | WARNING | django.request | Not Found: /api/backups/2/
